"word","model_type","back","hurdle_place","theta_mean","theta_se_mean","theta_sd","theta_2.5%","theta_25%","theta_50%","theta_75%","theta_97.5%","theta_n_eff","theta_Rhat","lambda_mean","lambda_se_mean","lambda_sd","lambda_2.5%","lambda_25%","lambda_50%","lambda_75%","lambda_97.5%","lambda_n_eff","lambda_Rhat","mu_mean","mu_se_mean","mu_sd","mu_2.5%","mu_25%","mu_50%","mu_75%","mu_97.5%","mu_n_eff","mu_Rhat","phi_mean","phi_se_mean","phi_sd","phi_2.5%","phi_25%","phi_50%","phi_75%","phi_97.5%","phi_n_eff","phi_Rhat","psi_intercept_mean","psi_intercept_se_mean","psi_intercept_sd","psi_intercept_2.5%","psi_intercept_25%","psi_intercept_50%","psi_intercept_75%","psi_intercept_97.5%","psi_intercept_n_eff","psi_intercept_Rhat","psi_slope_mean","psi_slope_se_mean","psi_slope_sd","psi_slope_2.5%","psi_slope_25%","psi_slope_50%","psi_slope_75%","psi_slope_97.5%","psi_slope_n_eff","psi_slope_Rhat","alpha_mean","alpha_se_mean","alpha_sd","alpha_2.5%","alpha_25%","alpha_50%","alpha_75%","alpha_97.5%","alpha_n_eff","alpha_Rhat","waic","waic_scaled"
"'ve","gen","FALSE",NA,"2.14711619488848","0.00141242747018051","0.0885444139338197","1.97697838612996","2.08570344442675","2.14737980367084","2.20771814610325","2.3173185742993","3929.97714224868","0.999807522144955","0.214159776310045","0.000588480564795014","0.0350378535499142","0.147092299360989","0.190480867913302","0.213797320258172","0.236612092105246","0.285051463113873","3544.95508787128","1.00016646453729","6.27739306513352","0.00181374019005049","0.121709517814132","6.04648023286996","6.19291031926929","6.27582867845579","6.35842462401735","6.51508780971581","4502.96872606708","0.999357141666716","22.326474185449","0.0837274052359559","4.99597576323494","14.3786697087776","18.7352606871366","21.5761541279822","25.1690933200525","33.9378107694977","3560.45401437594","1.00006711743275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4175.53298081544","8.20340467743702"
"'ve","hurdle","FALSE","1","0.990330021631678","0.00516236182937028","0.270565760615505","0.468436217261472","0.804403727646286","0.989503317247425","1.17100761224749","1.51897974090019","2746.93758714694","1.00110957493547","0.356236676531461","0.00067753991068101","0.0389389970316194","0.27799261933921","0.330214240845125","0.356046417688082","0.383433074803417","0.429857206078599","3302.93294556779","1.00058120215377","6.2513782231985","0.00197828621964557","0.132693483172385","5.98880162497328","6.16194296805573","6.25204740063418","6.34216978690729","6.51210237739285","4499.05121657056","1.00094804558209","14.1576361704574","0.0312741985631371","2.10177645403029","10.504366174842","12.6844668057238","13.9846058560888","15.4285776758314","18.9106334414244","4516.48597867605","0.999713759468162","0.994520011711615","0.00459320897647442","0.244623048570745","0.533358355695458","0.829143916965459","0.987525781632909","1.15765125751305","1.48533312564168","2836.36644290704","0.999703652583003","-0.208272275158654","0.000719465087667525","0.0381875824579394","-0.285674609350737","-0.233328698356721","-0.207229666811702","-0.182306338814663","-0.137117326539614","2817.24671894153","0.999795342993324","0.00196598405791757","2.69754666768509e-05","0.00198170625240945","4.71830131136731e-05","0.000534018160337041","0.00136437985780731","0.00272292207198456","0.00747511318321706","5396.85345823422","0.99956556725034","3981.11197376727","7.82143806241114"
"a","gen","TRUE",NA,"2.65674390610773","0.00056089116813807","0.0360440813565447","2.58593943735875","2.63292560189224","2.6569008916531","2.68119564695491","2.72527964727601","4129.62597940616","0.999235790685157","0.321687500793934","0.000252576498849847","0.0158421596647064","0.290439238481485","0.311150655359586","0.321645671172217","0.332212985977193","0.352967319860333","3934.07734710631","0.999420257128616","5.9795415630837","0.000599717749502354","0.0421456612045602","5.89929571937722","5.95062401043652","5.97963543707299","6.0086663561199","6.06045133557617","4938.69195233473","1.00021930544978","16.1534425863194","0.0192386041335286","1.21455120565928","14.0243974907176","15.2774707326478","16.0690174696788","16.9395454847352","18.7053995849919","3985.51586369509","0.999323219199294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40579.5024075434","8.36518293290938"
"a","hurdle","TRUE","-2","2.60468953697258","0.00141116743551172","0.0799565070249587","2.44599864147213","2.55053728830618","2.60387786029461","2.65902739888742","2.75781772698148","3210.33633782345","0.999895728830795","0.243811098365754","0.000249902857467979","0.0145119260585934","0.215584149125157","0.233678404484635","0.243997591898376","0.253353831627724","0.272653905170025","3372.15609598271","1.00003357051691","5.97823985098594","0.000560169317176953","0.041387277978514","5.89948032860119","5.94967776051885","5.97712972612187","6.00563880113334","6.06451589253376","5458.77374399822","0.999237120122576","15.1179739142313","0.0146970891955142","1.03347657758919","13.2273342548042","14.4115383028038","15.0739128785784","15.7638236296462","17.2619861816831","4944.68484913197","0.999505202226734","0.894557424961663","0.0014618229913921","0.0826098807327607","0.734186662205003","0.837347108513717","0.894035947044807","0.951025717284847","1.05829675248431","3193.55510275679","1.00106773953711","-0.320605926943806","0.000263662111786874","0.0146754392068356","-0.349522602754547","-0.330688626790075","-0.320284289767948","-0.310312969766919","-0.292739112639784","3098.03816059258","1.00122160501581","0.0443255352948214","4.3868688849766e-05","0.00308780765387173","0.0384389081548247","0.0422321413079501","0.0442889093651163","0.04632276802463","0.0507154620178757","4954.40117497817","1.0005243622399","40867.0141030228","8.42445147454603"
"about","gen","TRUE",NA,"1.90136412852476","0.00108391772863756","0.0685866193853441","1.7693689643016","1.85468258575768","1.89980279791069","1.94597202336734","2.03499987793953","4003.92703778171","1.00041500506094","0.494925418101476","0.000838240928190982","0.0485308812647474","0.406978991053196","0.461935126898023","0.491948372041096","0.525923285248223","0.596825630240859","3351.95848667191","0.999396103585642","6.13257994439276","0.00171284731530599","0.0981325402937677","5.94228178158269","6.06812545791398","6.13069526029066","6.19676468675367","6.32846346662683","3282.37941217022","1.00090481586082","15.2391053445795","0.0437577709418605","2.56893969173522","11.1009865938162","13.4397361806617","14.9553409790199","16.7198057301059","20.9283593174239","3446.65200590738","1.00005769032164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7473.12776660848","8.47293397574657"
"about","hurdle","TRUE","-2","2.76191119550628","0.00371896392034137","0.220133650554912","2.34104885342855","2.60802446619633","2.76194346486249","2.90637548291773","3.20136538510495","3503.71636223607","1.0005215658929","0.235138916830304","0.000656355299001108","0.0396491004056882","0.158044332678925","0.208446750800892","0.235232609025908","0.262272716321928","0.312252877793983","3649.12453192242","1.00106606559166","6.11860160132799","0.00150328086961862","0.10441438606535","5.92018894255565","6.04718720553292","6.11675608908664","6.188231418847","6.32920181269096","4824.36787618544","0.999587922006627","12.157568416966","0.0233960223738817","1.54655942104866","9.47594971791178","11.077997215277","12.0386808834359","13.1150610659509","15.5715774172932","4369.67528935072","1.00090291386094","0.557459354790263","0.00325286537799815","0.17947696902561","0.213814236879319","0.435109646760934","0.55440591555737","0.680993198427633","0.906746629244898","3044.28475675244","1.00098178760773","-0.22638278904202","0.000539647916053773","0.0289881840906787","-0.284536506061833","-0.246065601242283","-0.225378613734724","-0.206252588250821","-0.171291887513615","2885.49956206466","1.00079406554821","0.171405309832109","0.000193181967867382","0.0127739668662429","0.146887564057422","0.162824187517213","0.170949864787646","0.180039988642512","0.19746821588592","4372.38503471749","0.999577995891086","7563.27467192243","8.57514135138597"
"after","gen","FALSE",NA,"2.22013085440656","0.00485696919391429","0.273396124918823","1.7273023631564","2.02803046793393","2.2058816383775","2.39624458696762","2.81221601093296","3168.50218886911","1.00058123107194","0.908618033296406","0.00114296456700936","0.0664012210345005","0.753691871625052","0.869715416472997","0.922234440226601","0.960802180803698","0.995278216078908","3375.09962737617","1.00024822100576","4.98856691040359","0.00397814297207718","0.230543657669441","4.55058553136926","4.83291199237831","4.98082558288487","5.14161591812107","5.44097368758664","3358.50178588496","0.999930715136011","8.08010196539606","0.040601354644394","2.2907335329006","4.76798120509867","6.43917289271411","7.69787940555088","9.25504619400837","13.5973632065838","3183.23058476422","1.00228193559044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1352.78855275872","8.19871850156798"
"after","hurdle","FALSE","0","4.10778772516375","0.0155300058348608","0.655873291953067","3.0505028688327","3.65726041202709","4.01993640869847","4.46945255348767","5.6257575221984","1783.59667724386","1.0002146497075","0.64352767042401","0.00366393328219562","0.154697968078683","0.376517459183086","0.528869485457608","0.629856022913552","0.749486662385245","0.961966318132996","1782.68292639345","1.00118512906742","4.91128461778308","0.00393025352084118","0.234498544986174","4.46528249171905","4.75432902229324","4.90427455332322","5.0683273588265","5.37925757006761","3559.91127361525","1.00068345557878","5.71540445176984","0.0211809332360122","1.20260758646797","3.73620582748429","4.8747626815444","5.57722943073098","6.3962986796187","8.48465016572764","3223.72283704864","0.999502137760352","2.03753336750034","0.00927905357500717","0.450375092715456","1.20546090201028","1.72615504007722","2.02238178750976","2.33817328555439","2.96126007202031","2355.81598662265","1.00240606119906","-0.576868174596053","0.00217141665540999","0.103718559667024","-0.796958169823199","-0.642614177776897","-0.572608999978882","-0.505486134670583","-0.385663890740529","2281.53231770225","1.00252295919794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1332.76768055589","8.07737988215688"
"all","gen","TRUE",NA,"3.65354691468651","0.00850422065571044","0.309777799263972","3.14602963220243","3.42035587647168","3.61095525433682","3.8765857125531","4.28549557692215","1326.87966977912","1.00131302592978","0.818456875930754","0.00259829994525248","0.101164819784267","0.625435422754557","0.741696489113243","0.817657350750103","0.898502378193255","0.990465428308425","1515.93456712877","1.00127230878541","5.72492715987721","0.00178283435186514","0.0900742259347292","5.54896980060568","5.66397755774103","5.72417343162988","5.78413419487811","5.90786836287607","2552.57840184705","1.00160804020464","12.6136645980103","0.0379568507582192","1.70329551897708","9.85179481162186","11.4404344240398","12.4306111685525","13.616927946087","16.3816541621508","2013.72268825996","1.00145027962355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9365.53443212359","8.42982397130836"
"always","gen","FALSE",NA,"2.77749850454661","0.00299729512659206","0.184522127773342","2.43045456073426","2.65153849484126","2.76900227185079","2.89875819615234","3.14881267033374","3789.98850487734","0.999493171483583","0.342685810550102","0.00153407230167898","0.0839834423762789","0.194598294014826","0.285558195689521","0.337155031909229","0.392633603679402","0.524522798293372","2997.06171831505","0.999580399736411","5.66366995854486","0.00310557560035216","0.206763105591434","5.26791086021565","5.5263840720665","5.65929017788787","5.79837509344007","6.08044952436158","4432.63408313664","1.00040670357105","11.3408703203541","0.0511791677755199","3.14619051595116","6.6885942747207","9.09252913656015","10.8686150797133","13.0223536258566","18.7596996980579","3779.05833611955","1.00041186937543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1724.43574296648","8.29055645656964"
"an","gen","TRUE",NA,"2.36751969811381","0.00174653848743564","0.116644082911936","2.15192504964392","2.28561476499542","2.36451063532664","2.44379275641987","2.60198637052197","4460.35170818004","0.99994537288123","0.363432404287071","0.000947301414367653","0.0574391189663238","0.260323666856005","0.323558899752269","0.359035022811663","0.399000357840446","0.483864533059359","3676.53892349152","0.999576121879343","5.73872453074769","0.00250331069962385","0.150850667149499","5.45171093065704","5.63686608968924","5.73642043517028","5.8375022542576","6.04909094335832","3631.3236589001","1.00072705652413","13.0013427390555","0.0489281534287602","2.93303573619178","8.61911374390058","10.9027610370218","12.5203170753923","14.4949620122383","19.9450878741053","3593.49510621372","0.999639413914565",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3163.65297970422","8.28181408299534"
"an","hurdle","TRUE","-2","2.29247835847032","0.0049154272947898","0.312951506843891","1.69391023866213","2.07521613182134","2.28774224978794","2.50934320369257","2.9171956981083","4053.51272320085","0.999453989669946","0.317115424434686","0.000861592463378765","0.0518584486463472","0.217733802608804","0.281242086091198","0.317268847915926","0.353026307191075","0.419065512123116","3622.72408551072","0.999330507317791","5.71191495388869","0.0023734840543141","0.159723335741442","5.40343669979433","5.60291455044958","5.7077344013123","5.81962218218195","6.03232677941684","4528.60150503328","1.00019769835023","9.40460847484502","0.0238665442936815","1.58100586220021","6.78943281979515","8.28846356272059","9.25852774916033","10.2894517429932","12.9601176556938","4388.21481089827","0.999414161499624","1.11772044533937","0.00526303326811968","0.27403205794491","0.593978086139533","0.937141974843213","1.11439352744265","1.30078701606546","1.66892264771505","2711.00621963591","1.00137599924543","-0.266374971835936","0.000906344129475417","0.0469593513905773","-0.361080943666577","-0.298313474714439","-0.265322706216979","-0.234824312082897","-0.176981225873672","2684.46612041445","1.00174081795242","0.034045781720404","0.000132292957342507","0.00878177725288953","0.018751763137164","0.0278790389744156","0.0334077979598767","0.0394421923817776","0.0532486502516277","4406.4757489504","1.00001204836037","3135.81329360806","8.20893532358131"
"and","gen","FALSE",NA,"0.547123025975655","0.000284247351685244","0.014312651599066","0.518823519572622","0.53754347385689","0.547288088446068","0.556890949547189","0.575107884886466","2535.40501667888","1.00195856631985","0.986632505144223","0.000199611298076661","0.0101174129477366","0.962089245158018","0.980853297750839","0.988726523681781","0.994655427694744","0.999449776045337","2569.02727349296","1.00175708433948","4.70660544936785","0.000643147820597304","0.0379555554813281","4.63328072171873","4.68076474464144","4.70617522189735","4.73253067553954","4.78221360821487","3482.80451543039","1.00060453004355","3.34420396187622","0.00174005730492328","0.0989931117700038","3.15474658532684","3.27791660118987","3.34192685396564","3.40876664077299","3.54217801933162","3236.55394702899","0.999761558105234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55352.7186093314","7.045019550634"
"and","hurdle","FALSE","1","6.05221427531911","0.00231221202939008","0.152020258791154","5.76046281938732","5.94951473196658","6.05406302349379","6.15572017772291","6.34652686256051","4322.62561270881","1.00009364693075","0.344295354998995","0.000568894407974644","0.03725111331815","0.275979157915831","0.317776598771679","0.343548013153036","0.368799041495979","0.418876204335734","4287.60910275391","0.999290368012963","4.70397535007059","0.000529742573669442","0.0371725612705119","4.6304218763982","4.6783739883738","4.70399126218466","4.72980046732382","4.77598873636326","4923.96795175721","0.999333024704796","3.33341237935565","0.00135620345056019","0.0989935852328132","3.14043538227605","3.26499975122382","3.33253888011882","3.39893057765747","3.53335946410206","5328.00245884049","1.00031372090177","-0.826999594089312","0.0019533522025179","0.109619093069349","-1.05113777132285","-0.898766048469526","-0.824291250444199","-0.752404182607505","-0.620235849868464","3149.28015230041","0.99967629284971","-0.451009461901076","0.000443964412041196","0.0261725129356371","-0.502176748459751","-0.469259902648649","-0.451155185111095","-0.433214510165031","-0.399275004083013","3475.31783302928","0.999809473441195","0.772946612448505","7.08549981896291e-05","0.00471028417144389","0.763754024570393","0.769749180978634","0.772998192727829","0.776142244421545","0.78202214941368","4419.29746649895","0.99954033481832","54376.501075794","6.92077142367239"
